control_id,category_id
CASP-001,GOV-01
CASP-002,GOV-02
CASP-003,GOV-02
CASP-004,GOV-02
CASP-005,HUM-01
CASP-006,HUM-02
CASP-007,HUM-03
CASP-008,HUM-04
CASP-009,AST-01
CASP-010,AST-02
CASP-011,SUP-01
CASP-012,SUP-03
CASP-013,RSK-01
CASP-014,RSK-01
CASP-015,RSK-02
CASP-016,RSK-02
CASP-017,OPS-01
CASP-018,OPS-01
CASP-019,LOG-01
CASP-020,LOG-01
CASP-021,BCP-01
CASP-022,BCP-01
CASP-023,PHY-01
CASP-024,PHY-01
CASP-025,PHY-02
CASP-026,PHY-02
CASP-027,LOG-02
CASP-028,LOG-02
CASP-029,INC-01
CASP-030,LOG-02
CASP-031,IAM-01
CASP-032,IAM-02
CASP-033,IAM-03
CASP-034,IAM-06
CASP-035,CRY-02
CASP-036,CRY-01
CASP-037,CRY-03
CASP-038,CRY-03
CASP-039,DEV-04
CASP-040,DEV-03
CASP-041,DEV-03
CASP-042,DEV-03
CASP-043,CLD-02
CASP-044,CLD-02
CASP-045,CLD-03
CASP-046,DAT-06
CASP-047,BCP-03
CASP-048,BCP-03
CASP-049,BCP-02
CASP-050,BCP-04
CASP-051,CLD-03
CASP-052,CLD-03
CASP-053,CLD-04
CASP-054,CLD-04
ISMSP-001,GOV-02
ISMSP-002,GOV-02
ISMSP-003,GOV-02
ISMSP-004,GOV-02
ISMSP-005,GOV-02
ISMSP-006,GOV-02
ISMSP-007,AST-01
ISMSP-008,RSK-01
ISMSP-009,RSK-02
ISMSP-010,RSK-01
ISMSP-011,GOV-01
ISMSP-012,HUM-02
ISMSP-013,GOV-03
ISMSP-014,GOV-03
ISMSP-015,GOV-03
ISMSP-016,GOV-03
ISMSP-017,GOV-01
ISMSP-018,GOV-02
ISMSP-019,AST-01
ISMSP-020,AST-02
ISMSP-021,HUM-03
ISMSP-022,HUM-01
ISMSP-023,HUM-02
ISMSP-024,HUM-04
ISMSP-025,HUM-04
ISMSP-026,HUM-01
ISMSP-027,SUP-01
ISMSP-028,SUP-01
ISMSP-029,SUP-03
ISMSP-030,SUP-03
ISMSP-031,PHY-01
ISMSP-032,PHY-01
ISMSP-033,PHY-02
ISMSP-034,PHY-01
ISMSP-035,PHY-02
ISMSP-036,IAM-01
ISMSP-037,IAM-02
ISMSP-038,IAM-03
ISMSP-039,IAM-04
ISMSP-040,IAM-03
ISMSP-041,NET-01
ISMSP-042,IAM-06
ISMSP-043,NET-03
ISMSP-044,IAM-05
ISMSP-045,IAM-05
ISMSP-046,NET-01
ISMSP-047,IAM-06
ISMSP-048,CRY-01
ISMSP-049,CRY-01
ISMSP-050,CRY-02
ISMSP-051,CRY-03
ISMSP-052,DEV-01
ISMSP-053,DEV-01
ISMSP-054,DEV-03
ISMSP-055,DEV-04
ISMSP-056,DEV-03
ISMSP-057,DEV-05
ISMSP-058,BCP-01
ISMSP-059,OPS-03
ISMSP-060,OPS-01
