control_id,category_id
CASP-007,IAM-03
CASP-008,IAM-01
CASP-008,IAM-03
CASP-009,CLD-01
CASP-010,AST-01
CASP-017,IAM-02
CASP-020,LOG-02
CASP-027,INC-01
CASP-028,INC-02
CASP-029,INC-03
CASP-030,INC-02
CASP-031,IAM-03
CASP-033,IAM-04
CASP-041,OPS-01
CASP-042,OPS-01
CASP-043,OPS-01
CASP-044,IAM-05
CASP-044,LOG-01
CASP-045,NET-03
CASP-046,CLD-03
CASP-051,NET-03
CASP-052,GOV-04
CASP-053,GOV-04
CASP-054,CRY-01
CASP-054,GOV-04
ISMSP-007,RSK-01
ISMSP-024,IAM-01
ISMSP-024,IAM-03
ISMSP-036,IAM-02
ISMSP-037,IAM-01
ISMSP-040,IAM-01
ISMSP-062,SUP-03
ISMSP-063,DAT-06
ISMSP-069,OPS-05
ISMSP-073,INC-03
ISMSP-074,INC-02
ISMSP-086,SUP-02
ISMSP-087,DAT-07
ISMSP-088,RSK-01
ISMSP-090,DAT-02
ISMSP-092,GOV-04
ISMSP-093,DAT-02
A.5.3,IAM-03
A.5.14,CRY-02
A.5.23,SUP-03
A.5.29,INC-01
A.5.30,BCP-03
A.6.5,IAM-01
A.6.5,IAM-03
A.7.10,DAT-03
A.7.14,DAT-03
A.8.10,AST-03
A.8.12,NET-04
A.8.18,IAM-04
A.8.20,NET-01
A.8.24,CRY-03
A.8.30,SUP-02
A.8.34,DEV-03
